Broker Title,Type,Price,Bedrooms,Bathrooms,Square Feet,Address,State,Administrative Area Level 2,Locality,Sub-Locality,Latitude,Longitude
Brokered by COMPASS,Condo for sale,720000,3,2,1046,782 Madison St Apt 1A,"Brooklyn, NY 11221",New York,Kings County,Brooklyn,40.6873745,-73.9264057
Brokered by RE MAX Real Estate Professionals,Condo for sale,499999,3,1,701,2362 E 13th St Apt 2B,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,40.5925315,-73.9574046
Brokered by Prince & Associates Realty Grp,Condo for sale,699900,1,1,2184,11-25 47th Ave Unit 1,"Long Island City, NY 11101",New York,Queens County,Queens,40.745068,-73.949763
Brokered by Asimina Perikleous,Condo for sale,705000,2,2,2184,66-41 69th St Unit 1E,"Middle Village, NY 11379",New York,Queens County,Queens,40.7135957,-73.8863491
Brokered by Corcoran SoHo,Condo for sale,295000,3,1,2184,48 W 138th St Apt 6F,"New York, NY 10037",New York,New York County,New York,40.8153693,-73.9384161
Brokered by Cohen And Cohen Consulting,Condo for sale,469888,2,2,1164,152 Tier St Apt 211C,"Bronx, NY 10464",United States,New York,Bronx County,40.8480712,-73.7861809
Brokered by Century Homes Realty Group LLC,Condo for sale,929000,3,2,2184,24010A Oak Park Dr Unit 23A,"Douglaston, NY 11362",New York,Queens County,Queens,40.7459681,-73.7331069
Brokered by E Realty International Corp,Condo for sale,698000,2,2,824,142-18 38th Ave Unit 7D,"Flushing, NY 11354",New York,Queens County,Queens,40.7616652,-73.826414
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,4500000,5,4,3180,377 Rector Pl Ph B,"Manhattan, NY 10280",United States,New York,New York County,40.709894,-74.017865
Brokered by Great Riches Realty,Condo for sale,290000,1,1,2184,65-50 Wetherole St Unit Lv,"Rego Park, NY 11374",United States,New York,Queens County,40.7255887,-73.8589005
Brokered by Great Riches Realty,Condo for sale,290000,1,1,2184,65-50 Wetherole St Unit Lv,"Rego Park, NY 11374",United States,New York,Queens County,40.7255887,-73.8589005
Brokered by Keller Williams NYC,Condo for sale,495000,2,1,766,69 Bennett Ave Apt 509,"New York, NY 10033",New York,New York County,New York,40.8525968,-73.9352912
